year,Molson-Coors,AB-InBev,Heineken,Carlsberg,Asahi,Diageo
2000,2414415000,5317204000,7620580000,3206250000,9862151289,
2001,2429462000,6499492000,8155070000,4061442000,8406746031,
2002,3776322000,7341600000,10807650000,4976160000,8901296842,
2003,4000113000,8875440000,11661300000,5817168000,10333239988,
2004,4305816000,11652480000,12521520000,6639972000,10507401636,
2005,5506906000,13754080000,11412960000,6049473000,8698676620,
2006,5844985000,17566560000,13933920000,7264611000,8465451184,
2007,6190592000,21067800000,16417700000,8815750000,9061462715,
2008,4774300000,22542800000,20046600000,11329416000,10967099900,2480394000
2009,3032400000,33862000000,21022430000,11460919000,10293897722,3318440400
2010,3254400000,36297000000,21618220000,10689612000,11458920044,3313464000
2011,3515700000,39046000000,22088670000,11075274000,11972681215,3348279000
2012,3916500000,39758000000,24265560000,11831304000,10644621421,3641729700
2013,4206100000,43195000000,26500140000,12245568000,8796864608,3940225800
2014,4146300000,47063000000,23300970000,10578984000,7866032540,3200496000
2015,3567500000,43604000000,22356990000,9313038000,8092438679,2861119800
2016,4885000000,45517000000,21831600000,8828574000,8349863201,2321379000
